Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nCPM"	"RNA single cell type group specificity"	"RNA single cell type group distribution"	"RNA single cell type group specificity score"	"RNA single cell type group specific nCPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nCPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific pTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	"Protein cell type specificity"	"Protein cell type distribution"	"Protein cell type specificity score"	"Protein cell type specific Intensity"	"Protein tissue specificity"	"Protein tissue distribution"	"Protein tissue specificity score"	"Protein tissue specific Intensity"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cutaneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
RNF114	"PSORS12, ZNF313"	ENSG00000124226	"Ring finger protein 114"	Q9Y508	20	49936336-49953885	"Enzymes, Predicted intracellular proteins"	"Differentiation, Spermatogenesis, Ubl conjugation pathway"	"Developmental protein, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 153.8"	"Group enriched"	"Detected in many"	6	"Early spermatids: 1419.4;Late primary spermatocytes: 1601.8;Late spermatids: 1103.6;Oocytes: 635.5"	"Group enriched"	"Detected in all"	5	"Oocytes: 635.5;Spermatogenic cell types: 1601.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Spleen - Endothelial cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Glomeruli: 62978.2;Oocytes: 83038.0;Skeletal myofibers: 66316.0"	"Tissue enhanced"	"Detected in many"		"intestine: 7483808.4"	HPA021184	Enhanced		Supported	"Plasma membrane,Cytosol"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 67: Testis - Mixed function"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 33: Early spermatids - Spermiogenesis: Cap phase"	24	"Plasma membrane, Cytosol"		"HPA021184: "	"unprognostic (2.30e-1)"	"unprognostic (1.93e-3)"	"unprognostic (2.74e-1)"	"unprognostic (3.50e-2)"	"unprognostic (5.13e-2)"	"unprognostic (3.55e-1)"	"unprognostic (8.46e-2)"	"unprognostic (2.52e-2)"	"unprognostic (8.08e-2)"	"unprognostic (1.03e-2)"	"potential prognostic favorable (1.07e-6)"	"unprognostic (1.25e-2)"	"unprognostic (2.47e-1)"	"unprognostic (5.62e-3)"	"unprognostic (4.23e-2)"	"unprognostic (2.12e-1)"	"unprognostic (3.45e-1)"	"unprognostic (2.15e-1)"	"unprognostic (5.38e-2)"	"unprognostic (1.43e-1)"	"unprognostic (5.13e-2)"	"unprognostic (4.98e-2)"	"unprognostic (2.05e-1)"	"unprognostic (3.98e-2)"	"unprognostic (2.71e-3)"	"unprognostic (4.56e-2)"	"unprognostic (7.24e-3)"	"unprognostic (1.47e-1)"	"unprognostic (1.83e-1)"	"unprognostic (7.71e-2)"	"unprognostic (7.32e-3)"
RNF123	"FLJ12565, KPC1"	ENSG00000164068	"Ring finger protein 123"	Q5XPI4	3	49689538-49721529	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 149.4;tongue: 104.4"	"Cell type enhanced"	"Detected in many"		"Epicardial cells: 54.6"	"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Skeletal myofibers: 30614414.4"	"Low tissue specificity"	"Detected in many"			"HPA065983, HPA071879"	Enhanced		Approved	Cytosol			NA	NA		120000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 19: Skeletal muscle - Striated muscle contraction"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 8: Non-specific - Basic cellular processes"	"Cluster 66: Erythroid cells - Erythroid differentiation and maturation"	20	Cytosol		"HPA065983: , HPA071879: "	"unprognostic (8.51e-2)"	"unprognostic (2.36e-1)"	"unprognostic (2.80e-1)"	"unprognostic (2.54e-1)"	"unprognostic (1.28e-1)"	"unprognostic (3.10e-1)"	"unprognostic (2.78e-1)"	"unprognostic (6.40e-2)"	"unprognostic (1.38e-1)"	"unprognostic (5.30e-2)"	"unprognostic (5.17e-3)"	"unprognostic (3.41e-1)"	"potential prognostic favorable (1.25e-4)"	"unprognostic (9.68e-3)"	"unprognostic (6.73e-2)"	"unprognostic (4.69e-2)"	"unprognostic (2.00e-1)"	"unprognostic (1.31e-1)"	"unprognostic (4.16e-2)"	"unprognostic (2.32e-1)"	"unprognostic (1.01e-1)"	"unprognostic (4.43e-2)"	"unprognostic (8.66e-2)"	"unprognostic (1.53e-2)"	"unprognostic (3.44e-1)"	"unprognostic (2.19e-2)"	"unprognostic (2.62e-1)"	"unprognostic (3.17e-1)"	"unprognostic (3.16e-1)"	"unprognostic (3.04e-1)"	"unprognostic (3.51e-1)"
RNF126	FLJ20552	ENSG00000070423	"Ring finger protein 126"	Q9BV68	19	647526-663233	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 143.8;Esophageal apical cells: 167.3;Esophageal basal cells: 175.9;Esophageal suprabasal cells: 164.9;Extravillous trophoblasts: 174.0;Late primary spermatocytes: 284.6"	"Cell type enhanced"	"Detected in all"		"Spermatogenic cell types: 284.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Neurons: 828521.7"	"Group enriched"	"Detected in many"		"bone marrow: 1192749.3;fallopian tube: 920217.2;lymphoid tissue: 1060635.2"	HPA043050	Approved		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 24: Non-specific - Transcription"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 23: Non-specific - Transcription"	"Cluster 26: Keratinocytes - Keratinization"	38	Nucleoplasm	Cytosol	"HPA043050: "	"unprognostic (3.19e-1)"	"unprognostic (1.25e-1)"	"unprognostic (7.23e-2)"	"unprognostic (9.22e-2)"	"unprognostic (9.71e-2)"	"unprognostic (2.59e-2)"	"unprognostic (2.35e-1)"	"unprognostic (4.14e-2)"	"unprognostic (8.33e-2)"	"unprognostic (3.91e-2)"	"potential prognostic favorable (1.94e-4)"	"unprognostic (2.89e-1)"	"unprognostic (2.15e-1)"	"unprognostic (2.67e-3)"	"unprognostic (5.45e-3)"	"unprognostic (3.61e-3)"	"unprognostic (2.00e-2)"	"unprognostic (3.62e-1)"	"unprognostic (1.84e-1)"	"unprognostic (9.12e-3)"	"unprognostic (5.01e-2)"	"unprognostic (2.35e-2)"	"unprognostic (2.06e-1)"	"unprognostic (3.24e-3)"	"unprognostic (2.22e-1)"	"unprognostic (1.49e-2)"	"unprognostic (1.66e-1)"	"unprognostic (1.82e-2)"	"unprognostic (1.17e-1)"	"unprognostic (3.34e-1)"	"unprognostic (7.66e-2)"
RNF13	RZF	ENSG00000082996	"Ring finger protein 13"	O43567	3	149812770-149962139	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ubl conjugation pathway"	Transferase	"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Neutrophils: 1686.1;Oligodendrocytes: 598.4"	"Cell type enhanced"	"Detected in all"		"Neutrophils: 1686.1"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte: 835.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 464.3"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Neurons: 119110.9;Proximal tubules: 51109.3"	"Low tissue specificity"	"Detected in many"			HPA064784	Approved		Supported	Nucleoplasm,Vesicles,Cytosol			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 3: Oligodendrocytes - Myelination"	"Cluster 30: White matter - Myelination"	"Cluster 63: Non-specific - Protein processing"	"Cluster 24: Neutrophils - Innate immunity signal integration"	24	"Nucleoplasm, Vesicles"	Cytosol	"HPA064784: "	"unprognostic (1.06e-1)"	"unprognostic (2.50e-2)"	"unprognostic (6.72e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.38e-1)"	"unprognostic (8.30e-2)"	"unprognostic (4.70e-2)"	"unprognostic (3.30e-2)"	"unprognostic (2.20e-1)"	"unprognostic (1.80e-3)"	"potential prognostic favorable (8.08e-13)"	"unprognostic (4.45e-3)"	"unprognostic (1.25e-1)"	"unprognostic (2.73e-2)"	"unprognostic (4.25e-1)"	"unprognostic (2.67e-1)"	"unprognostic (5.34e-2)"	"unprognostic (1.79e-2)"	"unprognostic (6.52e-2)"	"unprognostic (1.24e-1)"	"unprognostic (5.91e-3)"	"unprognostic (1.12e-3)"	"unprognostic (2.76e-2)"	"unprognostic (3.45e-1)"	"unprognostic (9.66e-2)"	"unprognostic (3.61e-2)"	"unprognostic (2.20e-1)"	"unprognostic (1.72e-1)"	"unprognostic (2.42e-1)"	"unprognostic (3.09e-1)"	"unprognostic (2.56e-1)"
RNF14	"ARA54, HFB30, TRIAD2"	ENSG00000013561	"Ring finger protein 14"	Q9UBS8	5	141958328-141990292	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 308.3;Late primary spermatocytes: 195.5;Parietal cells: 116.7"	"Cell type enhanced"	"Detected in all"		"Spermatogenic cell types: 308.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low tissue specificity"	"Detected in many"			"HPA008716, HPA064746"	Approved		Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 61: Non-specific - Transcription"	"Cluster 27: Non-specific - Mixed function"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 42: Early spermatids - Spermiogenesis: Acrosomal phase"	19	Nucleoplasm	Cytosol	"HPA008716: , HPA064746: "	"unprognostic (1.44e-2)"	"unprognostic (2.11e-2)"	"unprognostic (2.15e-2)"	"unprognostic (1.12e-1)"	"unprognostic (7.96e-2)"	"unprognostic (1.35e-3)"	"unprognostic (8.36e-2)"	"potential prognostic unfavorable (1.23e-4)"	"unprognostic (2.39e-2)"	"unprognostic (8.53e-3)"	"potential prognostic favorable (1.73e-10)"	"unprognostic (2.26e-3)"	"unprognostic (2.13e-1)"	"unprognostic (3.95e-1)"	"unprognostic (2.69e-2)"	"unprognostic (9.34e-2)"	"unprognostic (4.69e-1)"	"unprognostic (3.15e-2)"	"unprognostic (4.46e-2)"	"unprognostic (1.69e-1)"	"unprognostic (2.19e-2)"	"unprognostic (1.97e-1)"	"unprognostic (6.86e-2)"	"unprognostic (2.11e-1)"	"unprognostic (7.09e-2)"	"unprognostic (5.41e-2)"	"unprognostic (2.02e-1)"	"unprognostic (1.34e-2)"	"unprognostic (1.59e-1)"	"unprognostic (1.04e-2)"	"unprognostic (1.12e-1)"
RNF145	FLJ31951	ENSG00000145860	"Ring finger protein 145"	Q96MT1	5	159157409-159210053	"Enzymes, Predicted membrane proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Alveolar cells type 2: 664.5;Transitional alveolar cells: 607.2"	"Cell type enhanced"	"Detected in all"		"Alveolar cells: 664.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"B-cells: 11.4;granulocytes: 16.0;T-cells: 6.3"	"Low cancer specificity"	"Detected in all"			"Kidney - Endothelial cells, Liver - Vascular endothelial cells, Lung - Alveolar cells type 2, Skeletal muscle - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA036562	Uncertain		Approved	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA			"Cluster 19: Eosinophils - Unknown function"	"Cluster 61: Non-specific - Transcription"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 48: Neutrophils - Phagocytosis & degranulation"	1	"Nucleoplasm, Plasma membrane, Cytosol"		"HPA036562: "	"unprognostic (1.97e-1)"	"unprognostic (2.00e-1)"	"unprognostic (1.78e-2)"	"unprognostic (4.71e-2)"	"unprognostic (1.34e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.44e-3)"	"unprognostic (1.90e-2)"	"unprognostic (4.61e-2)"	"potential prognostic favorable (6.03e-7)"	"unprognostic (6.11e-2)"	"unprognostic (1.34e-2)"	"potential prognostic unfavorable (3.92e-5)"	"unprognostic (4.33e-2)"	"unprognostic (8.18e-2)"	"unprognostic (1.81e-2)"	"unprognostic (1.32e-1)"	"unprognostic (3.81e-1)"	"unprognostic (2.12e-1)"	"unprognostic (2.91e-3)"	"unprognostic (7.68e-2)"	"unprognostic (3.51e-1)"	"unprognostic (4.04e-2)"	"unprognostic (4.24e-2)"	"unprognostic (1.98e-2)"	"unprognostic (1.74e-2)"	"unprognostic (2.66e-3)"	"unprognostic (4.11e-1)"	"unprognostic (1.24e-1)"	"unprognostic (2.41e-1)"
RNF146	"dactylidin, dJ351K20.1, DKFZp434O1427"	ENSG00000118518	"Ring finger protein 146"	Q9NTX7	6	127266726-127288567	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Ubl conjugation pathway, Wnt signaling pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Myonuclei: 168.4;Neutrophils: 173.1"	"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in some"		"Granulosa cells: 40403.5;Neurons: 66249.6"	"Tissue enhanced"	"Detected in some"		"heart muscle: 23379.0"	"HPA027158, HPA027209"	Approved		Supported	"Nucleoplasm,Plasma membrane,Cytosol"			No	No			"Cluster 35: Neutrophils - Protein binding"	"Cluster 19: Skeletal muscle - Striated muscle contraction"	"Cluster 25: Non-specific - Transcription"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 24: Neutrophils - Innate immunity signal integration"	41	"Plasma membrane, Cytosol"	Nucleoplasm	"HPA027158: , HPA027209: "	"unprognostic (1.10e-1)"	"unprognostic (4.18e-3)"	"unprognostic (3.44e-2)"	"unprognostic (7.48e-3)"	"unprognostic (5.52e-2)"	"unprognostic (7.11e-2)"	"unprognostic (5.67e-2)"	"unprognostic (8.36e-2)"	"unprognostic (2.68e-2)"	"unprognostic (4.38e-2)"	"potential prognostic favorable (1.26e-6)"	"unprognostic (7.72e-3)"	"unprognostic (2.07e-1)"	"unprognostic (5.89e-3)"	"unprognostic (9.05e-2)"	"unprognostic (2.32e-2)"	"unprognostic (3.71e-1)"	"unprognostic (9.35e-2)"	"unprognostic (2.48e-1)"	"unprognostic (2.00e-2)"	"unprognostic (4.47e-2)"	"unprognostic (1.89e-3)"	"unprognostic (1.06e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.16e-1)"	"unprognostic (2.02e-2)"	"unprognostic (1.52e-1)"	"unprognostic (2.25e-2)"	"unprognostic (7.60e-2)"	"unprognostic (2.19e-2)"	"unprognostic (3.02e-1)"
RNF148	MGC35222	ENSG00000235631	"Ring finger protein 148"	Q8N7C7	7	122701668-122702922	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	86	"testis: 48.3"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 8.7;Late primary spermatocytes: 3.9;Late spermatids: 2.0"	"Cell type enriched"	"Detected in single"	53	"Spermatogenic cell types: 8.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Region enhanced"	"Detected in all"		"cerebellum: 22.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Minor Salivary Gland - Minor salivary glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Tissue enriched"	"Detected in single"	320	"skin: 31991.3"	HPA045587			Approved	Cytosol			NA	NA				"Cluster 6: Testis - Spermatogenesis"	"Cluster 2: Neurons - Nucleosome"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 42: Early spermatids - Spermiogenesis: Acrosomal phase"		Cytosol		"HPA045587: "			"unprognostic (2.61e-1)"			"unprognostic (1.52e-1)"		"unprognostic (4.46e-1)"															"unprognostic (1.30e-1)"								
RNF151		ENSG00000179580	"Ring finger protein 151"	Q2KHN1	16	1966823-1968975	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	940	"testis: 186.0"	"Group enriched"	"Detected in some"	6	"Early spermatids: 2667.3;Late spermatids: 1977.0"	"Cell type enriched"	"Detected in some"	214	"Spermatogenic cell types: 2667.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in single"	7481	"Skeletal myofibers: 748115.4"	"Not detected"	"Not detected"			HPA055054			Approved	"Nuclear speckles,Vesicles,Cytosol"			NA	NA				"Cluster 79: Testis - Spermatogenesis"	"Cluster 6: Non-specific - Immune response"	"Cluster 70: DU4475 - Unknown function"	"Cluster 33: Early spermatids - Spermiogenesis: Cap phase"	61	Cytosol	"Nuclear speckles, Vesicles"	"HPA055054: "																															
RNF166	"MGC14381, MGC2647"	ENSG00000158717	"Ring finger protein 166"	Q96A37	16	88696499-88706408	"Enzymes, Predicted intracellular proteins"	"Autophagy, Immunity, Innate immunity, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 86.0;lymphoid tissue: 98.5"	"Cell type enhanced"	"Detected in many"		"cDC: 49.6;Hofbauer cells: 46.4;Macrophages: 45.4;Microglia: 65.4;Monocyte progenitors: 48.5;monocytes: 67.9;Neutrophil progenitors: 70.5;Neutrophils: 153.0;NK-cells: 82.2;T-cells: 60.4"	"Cell type enhanced"	"Detected in many"		"Neutrophils: 153.0;NK-cells: 82.2"	"Group enriched"	"Detected in all"	5	"central nervous system macrophage: 79.8;leukocyte: 84.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - T-cells, Breast - T-cells, Prostate - T-cells, Thyroid gland - T-cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	186	"B-cells: 26063.7;Macrophages: 11204.4"	"Not detected"	"Not detected"			HPA042970			Approved	"Nucleoplasm,Plasma membrane,Cytosol"			No	No			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 66: Lymphoid tissue - Immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 92: NK-cells & T-cells - Adaptive immunity: Cytotoxicity"	18	Nucleoplasm	"Plasma membrane, Cytosol"	"HPA042970: "	"unprognostic (2.92e-1)"	"unprognostic (2.50e-2)"	"unprognostic (6.93e-2)"	"unprognostic (2.92e-1)"	"unprognostic (6.87e-3)"	"unprognostic (2.85e-1)"	"unprognostic (1.10e-1)"	"unprognostic (3.19e-2)"	"unprognostic (1.64e-2)"	"unprognostic (7.79e-2)"	"potential prognostic unfavorable (1.32e-4)"	"unprognostic (1.12e-1)"	"unprognostic (2.76e-2)"	"unprognostic (3.99e-2)"	"unprognostic (4.62e-3)"	"unprognostic (6.96e-3)"	"unprognostic (4.52e-1)"	"unprognostic (7.28e-2)"	"unprognostic (4.20e-1)"	"unprognostic (7.49e-2)"	"unprognostic (3.68e-3)"	"potential prognostic favorable (1.72e-4)"	"unprognostic (4.06e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.34e-1)"	"unprognostic (7.21e-2)"	"unprognostic (1.44e-1)"	"unprognostic (3.89e-1)"	"unprognostic (6.77e-2)"	"unprognostic (1.45e-2)"	"unprognostic (1.18e-2)"
